"osm_id,C,11","name,C,48","type,C,16","population,N,10,0","Latitude,N,19,11","Longitude,N,19,11"
16173235,Mumbai,city,13662885,18.9523804,72.8327112
16173236,New Delhi,city,11007835,28.6138967,77.2159562
16174445,Pune,city,3115431,18.5206437,73.8544051
176044062,Ambala,city,196000,30.3843674,76.770421
245581432,Thiruvananthapuram,city,500000,8.5058006,76.957393
245581857,Tirunelveli,city,100000,8.7295261,77.6852354
245581933,Tuticorin,city,100000,8.8053701,78.1451873
245589078,Coimbatore,city,500000,11.0018115,76.9628425
245589407,Tiruppur,city,100000,11.097142,77.3492054
245600130,Puducherry,city,100000,11.9340568,79.8306447
245612641,Mangalore,city,500000,12.8683751,74.8591937
245619134,Chittoor,city,150000,13.2158346,79.0971292
245620117,Udupi,city,120000,13.3419169,74.7473232
245625473,Shimoga,city,400000,13.9311723,75.569737
245631974,Dharwad,city,100000,15.4540505,75.0066516
245638671,Bijapur,city,100000,16.8266408,75.7201289
245638734,Sangli,city,100000,16.8502534,74.5948885
245639047,Kakinada,city,100000,16.9437385,82.2350607
245640372,Gulbarga,city,400000,17.3310003,76.8334228
245641840,Visakhapatnam,city,1000000,17.7231276,83.3012842
245644077,Srikakulam,city,125000,18.2949396,83.893875
245644629,Latur,city,100000,18.3983393,76.562087
245669664,Ahmadnagar,city,300000,19.092952,74.7493451
245683441,Bhiwandi,city,100000,19.3025562,73.0588072
245685894,Puri,city,50000,19.8076083,85.8252538
245686073,Jalna,city,350000,19.8409163,75.8824868
245686245,Aurangabad,city,100000,19.8728879,75.3287266
245686763,Nashik,city,100000,20.0109873,73.7903172
245688972,Cuttack,city,610189,20.4686,85.8792
245689525,Malegaon,city,100000,20.5575459,74.5242544
245690517,Akola,city,100000,20.7116604,77.002632
245691673,Dhule,city,100000,20.898,74.7732
245691922,Amravati,city,100000,20.933085,77.7572926
245694188,Burhanpur,city,100000,21.3098455,76.2317296
245696813,Porbandar,city,100000,21.6409,69.611
245699360,Bhavnagar,city,100000,21.7714943,72.1428829
245700317,Khandwa,city,100000,21.8205346,76.3568299
245702560,Bilaspur,city,250000,22.0791022,82.1480696
245704314,Kharagpur,city,100000,22.34309,87.3012875
245707150,Kolkata,city,4486679,22.568746,88.3462999
245709027,Indore,city,3272335,22.7171551,75.8678185
245711973,Jabalpur,city,500000,23.1609382,79.9497166
245712057,Ujjain,city,100000,23.174597,75.7851423
245712627,Bhopal,city,500000,23.2606627,77.3940598
245714770,Mahesana,city,50000,23.5992158,72.3824422
245715359,Asansol,city,500000,23.6855595,86.9756619
245716231,Aizawl,city,291822,23.7414092,92.7209297
245720113,Palanpur,city,110400,24.1709794,72.4366375
245723288,Deoghar,city,50000,24.4912708,86.6981472
245723853,Rewa,city,100000,24.5359,81.2934
245726282,Gaya,city,100000,24.7966571,85.0084589
245730439,Kota,city,1001400,25.17364,75.8574368
245731197,Bhagalpur,city,100000,25.2499,86.982
245732721,Bhilwara,city,360000,25.348,74.636
245733956,Allahabad,city,5959798,25.4381302,81.8338005
245735560,Arrah,city,100000,25.5596879,84.6612934
245735780,Shillong,city,260000,25.5765948,91.8750958
245738383,Pali,city,230000,25.7682376,73.3275135
245738523,Purnia,city,50000,25.7785194,87.4784013
245746448,Jodhpur,city,1034000,26.2989301,73.0334001
245748597,Ajmer,city,542600,26.4691,74.639
245753718,Lucknow,city,4588455,26.8381,80.9346001
245754798,Barabanki,city,146831,26.9274097,81.1948375
245760340,Sitapur,city,100000,27.5615568,80.6840082
245762879,Aligarh,city,100000,27.8815412,78.0690216
245765070,Bareilly,city,100000,28.3523609,79.4096542
245765268,Faridabad,city,100000,28.402837,77.3085626
245768111,Panipat,city,100000,29.3912753,76.9771675
245768228,Ellenabad,city,35000,29.4521412,74.6634653
245768267,Muzaffarnagar,city,100000,29.4662369,77.6961699
245768393,Sirsa,city,160129,29.5372849,75.0377649
245769418,Yamunanagar,city,216628,30.1231349,77.286329
